person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
87,,B,A,,,,B,B,A,A,A,A,,,D,A
88,D,F,,,A,F,B,,,B,D,A,B,A,B,D
89,A,A,D,D,B,F,D,F,,B,,A,A,,B,A
90,D,A,A,C,A,B,A,D,A,A,,A,B,A,B,B
91,D,B,A,D,A,D,A,D,A,B,A,B,A,A,A,A
92,,D,F,A,D,,A,D,,D,B,,D,B,D,D
93,D,A,A,B,,B,,,A,D,B,A,D,B,A,F
95,A,D,A,A,A,,D,A,D,A,D,A,A,B,,A
96,B,,B,A,D,B,,B,B,,D,A,A,B,B,A
98,A,A,B,A,,D,A,A,D,A,A,A,D,B,D,A
100,A,B,A,B,D,A,B,,A,A,A,,A,A,,D
103,,A,,C,A,A,A,B,B,,B,B,D,D,D,A
104,A,,A,D,A,,B,A,A,A,F,B,,,A,F
107,,A,A,,,,D,A,,D,A,,,A,D,B
109,,A,,A,A,F,,B,A,D,A,B,D,D,F,A
113,,A,D,A,,A,A,B,B,B,A,D,B,A,,A
115,D,B,A,A,,A,,D,A,A,B,,D,B,,A
116,F,D,A,A,D,F,A,A,,B,F,B,A,,D,B
117,D,A,B,D,,A,F,B,A,D,,D,A,D,D,A
118,A,A,F,F,B,,B,A,A,B,F,A,B,B,A,A
119,,A,F,,,B,,A,A,D,C,D,B,A,B,B
120,,,D,,A,A,A,,A,D,A,A,B,D,D,D
121,A,A,A,A,A,,,A,B,D,A,A,A,D,A,A
125,A,A,F,A,B,A,A,D,A,,D,D,D,A,F,
126,,A,,A,D,,F,B,B,A,D,A,D,A,A,D
127,B,D,D,,B,D,A,B,B,A,,,D,A,,A
129,A,,A,A,,C,D,,,A,,D,D,A,A,B
133,F,A,,A,A,A,D,B,A,B,A,D,,D,A,B
134,F,A,A,F,,D,A,A,,,A,,A,A,A,A
136,,A,A,,D,A,D,D,F,A,A,A,A,A,,D
138,F,,D,B,D,B,,A,A,B,D,B,B,D,A,A
139,D,A,,A,B,,A,A,,D,A,D,A,,A,A
141,A,F,C,A,D,,,D,A,D,,A,D,D,A,D
142,,A,A,A,A,,C,A,A,,D,D,D,A,,
145,A,D,,,,D,A,A,,A,F,A,A,A,A,D
147,F,B,A,A,,A,,A,D,A,D,D,A,,A,D
151,,,B,A,B,,A,C,D,A,A,D,F,B,A,A
152,D,A,A,B,A,A,A,B,A,F,D,F,A,B,B,A
154,A,D,A,B,,B,A,,,A,D,A,,B,A,
155,D,D,B,A,A,A,B,B,B,A,,A,F,A,A,A
156,D,A,A,F,,B,,,D,B,,D,A,A,C,
157,,F,A,D,A,D,D,D,A,A,,A,D,A,A,
158,A,B,A,A,,D,,A,,A,,A,C,,F,A
160,A,A,A,A,A,A,D,A,,A,D,A,,A,F,A
161,,A,A,,D,F,A,B,,,F,B,,A,D,A
163,B,D,A,A,D,,B,F,D,B,,D,A,B,B,F
164,D,A,D,B,,D,D,D,A,,,D,,F,D,D
165,A,,B,,A,,A,A,A,,B,D,,D,B,A
166,,A,,D,,,D,D,A,F,D,D,D,,,D
168,,F,D,A,B,,D,B,D,B,A,A,B,A,F,
173,A,D,C,,A,A,A,A,D,A,,A,B,A,A,D
176,,D,B,F,B,A,D,A,F,A,A,D,,A,D,A
177,A,,B,A,B,A,,D,A,,C,C,A,A,B,A
182,,D,B,A,,D,F,A,,D,D,F,A,A,A,A
183,C,A,B,A,A,B,D,A,,A,B,A,D,F,D,A
187,B,D,D,A,A,D,,B,B,,D,,A,D,D,D
189,A,B,A,A,D,F,,A,D,D,A,F,A,D,A,A
193,,A,A,F,,A,,,A,A,D,B,D,A,A,
196,A,A,D,A,A,F,A,,C,A,B,D,F,B,D,B
197,,A,,A,B,,,B,D,A,B,,,A,D,A
201,D,A,B,A,,A,A,A,A,A,A,D,F,A,A,A
202,A,D,D,A,A,,A,A,A,A,A,,,D,D,
203,A,A,A,B,B,A,D,,A,D,,D,D,A,B,B
207,A,D,,,B,B,A,,A,D,A,A,D,F,D,A
208,,D,B,B,B,A,B,A,A,D,D,A,A,B,A,A
211,A,,A,A,D,D,A,F,A,A,,D,A,B,D,B
212,A,B,F,,D,D,,D,,,A,,A,D,B,D
214,A,B,A,A,A,F,A,A,A,A,B,,D,F,,B
218,B,,D,B,A,D,A,A,A,F,A,A,A,B,,A
219,D,D,B,D,A,F,A,D,,A,,A,A,F,B,A
220,A,B,D,,A,A,A,D,A,A,,F,D,A,D,A
221,A,D,,A,A,B,,A,B,A,A,,A,,A,D
223,,B,A,D,A,,A,B,A,,,,A,,B,A
224,B,,D,A,D,D,,B,B,A,A,D,A,D,F,D
225,A,B,B,B,,D,A,A,,A,A,,A,B,A,A
226,D,A,A,B,D,A,B,F,D,A,F,A,,D,A,
228,B,B,D,B,A,,A,A,B,A,A,,,,,
229,,A,,C,D,A,,B,D,B,C,A,D,,A,
231,A,D,F,F,A,B,D,A,F,,F,,B,D,A,D
232,A,D,A,A,D,B,,,B,A,A,,A,B,,C
233,A,C,,,F,,B,A,A,D,D,A,B,D,A,A
236,A,,D,A,D,,,A,D,D,,B,,D,B,
238,A,B,F,C,A,A,A,B,A,A,A,D,D,A,D,A
239,A,A,D,A,D,A,A,B,D,B,D,,D,,,B
241,D,A,D,D,D,A,F,D,A,C,D,A,F,D,D,
242,D,D,D,A,,C,A,D,F,,A,A,A,B,F,A
243,A,F,D,D,F,,A,A,B,,F,A,A,,A,B
244,D,B,,D,A,A,A,,A,A,A,B,B,,B,A
245,,D,B,A,B,B,B,B,D,,,,,D,D,
247,F,B,,F,D,A,A,,D,D,A,A,D,A,F,A
250,,A,D,B,,D,D,,D,D,A,A,B,D,A,B
251,F,D,,,B,F,,A,A,A,A,A,D,B,A,
257,D,F,B,F,A,F,A,D,A,B,A,A,A,B,A,D
260,D,A,D,A,A,A,A,B,,A,A,B,F,D,,F
261,D,D,,A,A,A,,B,B,A,D,A,D,A,B,A
262,B,B,B,,D,,A,A,A,B,,B,,,A,B
264,A,A,B,B,B,A,,,F,C,B,C,B,F,D,D
265,,,D,A,,A,A,B,D,D,,B,A,F,A,A
268,A,,A,D,A,D,A,D,,B,A,,A,A,A,A
269,B,A,D,D,A,A,B,B,F,D,B,A,D,D,B,A
271,,,F,A,A,B,A,B,D,F,D,D,B,B,C,D
272,,B,B,D,A,,,A,,B,A,B,A,A,D,A
273,,,,A,A,A,D,A,D,D,B,D,D,D,A,
274,A,A,,A,D,A,A,,A,A,B,B,D,A,D,
279,A,A,D,A,,A,B,A,,B,,C,D,F,D,D
280,A,C,,D,,A,A,B,A,,D,D,A,,B,D
281,,D,A,A,,D,,A,A,D,,A,A,F,D,B
282,B,A,A,,B,D,A,B,A,A,A,D,,D,D,A
283,D,A,A,D,D,B,A,F,F,F,F,,D,A,D,A
284,A,A,A,B,A,D,A,A,B,A,B,,D,A,A,A
286,A,A,D,A,B,A,,A,F,A,A,A,D,A,,B
287,A,,,,A,A,,,A,A,A,,B,A,B,B
288,F,,A,D,B,A,F,B,A,,D,A,D,,D,A
291,A,,,A,A,B,D,A,D,A,A,A,D,D,,A
293,A,,B,A,D,A,A,D,,A,A,F,D,A,D,A
294,F,B,B,B,D,,B,B,D,D,D,A,,A,B,C
295,B,B,A,A,A,D,D,A,A,A,D,D,A,B,D,A
296,,B,,A,B,,B,A,A,B,D,B,,,A,A
299,D,F,,B,D,,,,A,B,,A,D,D,A,D
300,B,A,A,B,A,A,B,D,A,,D,A,,B,A,D
302,A,,A,A,,C,A,A,,D,,D,B,A,,D
303,B,B,D,D,A,A,B,A,F,D,A,B,B,D,A,F
304,B,A,A,B,A,A,A,A,D,,A,B,D,B,,D
305,,,A,A,,,,D,B,,D,A,A,D,B,D
306,D,A,D,D,,B,,A,A,B,,A,A,B,,A
307,B,A,A,A,,A,A,A,B,A,A,D,D,A,D,D
309,B,,B,D,,D,,D,D,A,,B,A,A,,F
310,B,B,F,B,,,A,,D,D,A,B,D,A,D,A
311,B,B,B,A,A,D,B,B,D,B,A,A,B,,,A
312,D,D,D,D,B,A,,,B,A,D,A,D,A,,A
314,A,,B,F,B,A,,,,D,A,,D,A,A,
315,B,D,B,F,B,B,D,D,A,D,A,F,A,A,D,D
317,B,,A,B,D,,A,B,B,A,A,D,A,F,,F
318,D,B,A,A,F,A,A,B,B,A,B,D,,D,A,A
321,A,A,A,D,A,,,A,C,D,F,D,D,F,D,A
323,,F,A,A,D,A,A,D,A,,A,A,F,,D,D
325,A,B,C,,D,D,D,F,,A,D,D,A,F,A,A
329,B,A,D,A,A,A,A,,A,D,A,A,A,D,D,A
331,A,A,D,A,D,B,,A,D,,F,A,A,C,B,D
332,,A,B,A,A,C,A,,,D,,C,A,D,A,A
333,D,A,A,D,,,,,,D,D,A,A,A,A,D
335,A,B,A,D,D,B,A,,,A,F,A,D,,B,B
340,B,F,A,B,,B,A,D,,A,B,,A,A,D,
341,B,A,A,D,A,A,F,,,A,,,B,A,D,D
342,B,B,D,C,,A,F,D,B,,B,D,,,D,D
343,A,A,A,A,D,A,,B,B,,,A,B,A,A,D
346,A,A,D,D,A,,D,D,,D,D,B,A,,A,A
348,A,B,D,,A,,D,D,A,D,D,A,B,B,A,D
350,A,A,F,D,A,A,A,A,A,A,A,A,D,A,B,F
351,D,A,B,B,B,B,A,A,,,B,A,,,D,F
354,A,B,D,,A,,,B,,A,A,,,B,A,
355,,B,,A,,,D,A,,,D,D,A,,,A
356,A,A,A,,D,,A,F,A,B,A,,D,,A,A
359,A,A,F,A,,D,A,,A,,,A,,A,A,F
365,A,B,A,A,A,D,A,A,D,D,D,F,A,B,A,D
367,D,B,A,F,D,D,A,F,D,A,B,,A,A,A,A
368,A,D,A,,B,A,A,D,A,A,A,B,A,F,B,A
369,B,D,B,B,A,B,A,B,,,,B,A,B,,A
372,B,D,A,,A,A,D,D,D,A,,D,A,C,D,
373,B,,A,D,D,,B,B,A,A,A,B,A,,B,A
375,D,B,D,A,B,A,F,D,D,A,A,A,,A,F,A
379,F,B,F,C,F,A,A,A,D,B,B,,A,A,D,F
380,B,D,A,,A,D,,D,B,F,A,A,,D,,D
382,B,,,,B,A,,A,D,B,F,,B,D,B,B
383,B,B,A,D,,B,A,D,B,,,A,A,A,,A
384,D,F,D,B,A,D,A,A,,A,A,A,A,,A,
385,A,,A,B,D,B,D,F,A,B,D,F,A,A,A,A
387,A,A,A,D,B,A,A,D,B,,,D,,A,F,D
388,A,A,A,B,D,F,,,A,,A,D,B,A,D,
389,D,A,,,A,,,F,A,A,D,A,B,,,A
390,A,A,D,A,B,,A,B,D,D,A,D,,,,
391,A,D,A,D,,D,D,,A,B,A,A,D,,B,B
397,A,,B,,F,A,D,D,,A,,,A,F,D,A
399,A,F,A,D,A,F,A,A,B,A,,D,A,D,B,D
403,A,A,F,A,B,A,F,D,B,A,,A,B,,D,B
404,A,A,A,D,A,D,B,D,A,D,A,,A,B,,F
406,A,A,,D,,,F,A,C,D,B,B,A,D,A,B
407,A,,A,,B,,D,D,B,A,B,B,,A,D,B
409,A,A,D,D,A,A,D,D,,,,A,C,A,D,A
410,D,D,A,C,B,A,A,A,D,A,D,B,B,A,A,D
411,D,A,,D,F,D,A,A,B,A,A,B,,,,
413,F,D,,A,D,A,D,A,D,B,,A,A,A,A,
415,A,A,A,,A,,A,A,A,D,A,A,B,,,
417,D,,A,B,F,A,B,B,D,B,,D,,D,B,A
419,A,B,D,D,D,,A,B,D,,A,D,B,A,A,A
422,,A,A,A,A,A,A,A,A,A,A,D,,B,D,D
423,B,F,A,D,A,D,,A,A,A,B,C,D,,D,D
426,A,B,B,A,,,D,F,A,B,D,D,,A,A,
427,D,A,,D,F,D,F,A,D,D,B,,D,C,D,D
430,A,A,,,,,A,,A,A,A,D,A,,B,
432,B,B,,A,,B,A,B,F,D,,A,D,,A,B
433,B,A,A,A,D,B,A,A,D,A,B,B,D,D,,D
434,,B,,D,F,B,B,,B,B,C,A,A,A,D,A
435,D,B,A,A,A,F,A,D,D,B,A,D,A,A,A,D
436,B,B,F,A,,D,A,,A,A,,,D,B,F,D
437,B,A,A,A,A,D,A,D,,A,B,B,,D,,B
438,,A,B,A,A,A,A,D,D,A,A,D,F,A,A,
439,,D,A,A,B,,A,D,B,A,,A,,,A,B
440,A,A,A,A,,D,D,D,D,A,D,B,A,,,A
441,D,C,A,B,A,C,D,A,A,A,A,A,A,,A,A
447,A,F,A,,A,A,A,A,A,,A,A,A,D,A,
448,,F,A,A,A,D,,B,D,B,,F,D,A,F,D
449,D,A,B,A,D,B,D,A,A,A,D,,D,,,A
451,,,A,A,D,,B,,A,D,F,A,,D,A,D
454,A,D,A,D,,A,A,D,B,,A,,A,F,A,B
457,,A,B,D,A,B,,A,D,D,B,B,A,,F,B
458,B,A,,D,,,D,B,,A,D,,,D,A,A
460,A,,A,A,,D,A,A,A,A,,A,B,A,A,B
461,A,,D,,,B,D,A,D,A,B,A,A,,D,A
462,C,A,A,,B,F,A,F,B,D,B,A,A,D,A,A
464,A,A,,A,A,F,A,D,D,D,B,F,A,A,B,D
466,B,A,F,B,F,B,D,A,,F,D,A,F,B,A,F
467,C,F,D,D,,,A,,B,,B,,D,A,B,A
469,A,A,A,B,D,D,C,A,D,B,A,D,A,B,,D
473,D,B,A,D,D,F,D,D,A,D,,A,B,D,B,A
474,D,B,,B,A,B,A,A,A,A,A,,A,A,B,A
475,,A,A,A,B,,D,,D,A,,D,,,D,
477,,A,A,D,B,,A,A,D,,A,D,A,D,F,D
478,A,D,A,A,F,,B,A,,D,C,D,A,A,D,B
481,C,B,A,A,A,B,,A,A,B,A,D,A,A,A,A
483,,D,A,B,B,D,B,D,A,B,D,A,,B,A,A
487,B,A,A,A,F,D,,A,A,A,B,A,A,D,B,A
491,A,A,,B,D,,D,B,A,A,B,B,A,,A,A
494,,A,A,D,D,B,,D,A,D,A,,B,,B,
496,B,A,A,,A,D,A,B,D,B,D,A,A,D,D,
497,,B,A,,,D,C,D,A,A,A,A,A,F,,B
498,,,A,,A,D,A,A,,,,A,F,D,A,A
499,A,A,A,,,,,F,A,D,A,A,B,,A,A
500,,B,D,B,A,D,D,A,,,A,D,A,A,A,
501,A,,F,A,B,B,,D,D,D,A,B,A,B,,D
504,A,,A,F,,A,D,B,A,A,D,F,A,D,A,B
506,C,A,,,A,A,A,A,A,B,,B,D,B,A,
507,B,A,D,A,,B,B,,,A,A,,A,B,A,A
508,D,D,D,,A,,A,A,F,D,A,A,A,A,A,B
511,,A,A,,B,B,D,A,D,,B,D,F,A,A,B
512,,A,A,B,D,A,A,,B,A,A,D,A,B,A,A
513,A,B,,A,B,A,D,D,B,D,,A,A,A,B,B
516,,B,A,B,A,,B,D,A,B,A,F,A,D,A,A
519,A,A,A,F,,D,A,A,,D,C,,B,F,B,F
521,A,,A,,D,B,A,A,,A,A,A,B,D,D,A
522,D,A,,D,A,D,A,A,A,A,A,A,,A,D,A
523,,A,,,A,,A,D,D,A,A,,A,B,A,B
524,A,F,B,A,A,A,F,D,A,B,A,B,A,A,A,
527,B,A,A,D,B,,D,A,F,B,A,A,,D,A,D
529,A,,D,,B,,B,B,A,B,A,,B,F,A,A
532,A,D,D,A,B,A,B,A,D,D,A,A,A,C,D,B
533,,B,A,D,A,A,A,,,A,D,A,A,B,B,
534,C,D,A,A,F,,C,B,,,D,,D,,D,A
535,D,C,D,A,B,A,F,A,,A,A,,F,A,F,B
538,A,,,B,B,,A,D,A,A,B,A,A,A,A,
541,B,A,B,A,A,,A,A,B,,,,D,D,A,A
543,D,,D,D,B,F,A,,F,A,A,A,B,A,D,D
544,B,A,,A,B,A,A,A,A,F,A,D,,D,D,A
545,,B,A,A,D,D,D,,B,D,A,A,C,,A,D
546,,D,A,,,A,B,D,A,C,,,A,,A,
548,B,,A,A,B,D,A,B,,A,,B,B,A,A,
550,A,,D,D,B,A,D,D,F,A,B,A,,B,A,D
551,D,B,B,A,A,B,A,B,B,A,F,,A,A,F,D
553,B,A,A,A,B,D,D,,B,D,A,,B,D,A,
556,A,B,D,D,D,A,D,D,A,B,D,A,D,,F,D
557,B,,,,A,A,B,D,D,A,A,D,A,A,B,
561,D,F,B,A,F,B,A,B,D,B,A,D,F,A,B,
562,D,D,D,A,F,A,,,D,,A,D,D,B,D,A
563,A,D,A,A,F,D,A,A,,A,,F,,,B,F
564,D,,B,A,A,D,A,A,B,A,D,,,D,A,A
565,B,,,,A,D,A,A,A,F,A,A,F,D,A,
566,,D,D,B,F,A,,,F,A,F,A,B,C,A,D
568,A,C,D,B,B,A,B,A,A,A,C,,A,,B,D
569,B,A,D,A,A,A,B,B,B,A,,D,A,B,A,A
570,B,A,A,A,A,B,F,A,A,F,A,D,D,A,A,D
571,A,,A,,D,B,C,D,A,,B,D,A,D,A,B
572,D,D,D,A,B,D,A,A,A,,A,B,D,A,B,
573,F,A,A,B,,A,A,B,A,,,F,A,,A,
574,D,D,A,F,A,A,B,A,A,A,,C,B,B,D,A
575,A,D,F,C,D,,F,A,D,B,D,A,F,A,D,B
577,,A,A,A,B,A,,A,,A,,A,B,A,A,A
578,A,,A,D,D,,D,A,F,A,D,B,D,,C,
579,D,A,D,,,D,A,D,,,,D,,D,D,A
583,D,B,A,,,B,C,A,B,A,D,B,,A,A,A
584,A,B,B,D,A,A,F,A,A,A,,,A,,F,A
585,A,A,A,A,A,,D,A,A,,A,B,F,A,A,A
586,A,A,B,A,,B,B,D,A,D,A,B,A,B,F,
587,D,A,A,,D,,,A,D,A,B,D,D,B,,B
588,A,A,B,D,B,B,F,A,C,,B,B,,A,A,D
591,A,,,A,,D,B,,D,,D,A,D,A,D,D
594,A,D,B,B,A,,A,,C,D,A,,F,,,D
599,A,D,B,A,A,B,,A,D,A,F,,D,,,B
603,B,,A,D,B,B,A,,A,,D,D,,D,D,A
604,A,F,,A,A,B,A,A,A,A,B,A,,D,F,
605,,D,B,B,,A,B,D,,A,F,D,D,A,A,
606,A,A,A,,B,A,D,D,A,C,A,A,A,A,A,F
607,A,,D,A,,D,A,B,A,A,D,A,F,,F,F
608,B,A,D,C,B,A,A,A,A,A,,,,A,F,F
609,A,B,D,,B,B,B,A,B,F,A,A,,,A,
612,A,,,,A,D,B,B,B,,B,A,B,F,D,
613,,A,C,B,A,F,,A,D,F,A,B,B,A,,A
614,,A,C,,A,B,D,A,D,D,,A,F,B,,A
616,A,,A,D,B,A,D,,B,,B,D,C,B,D,A
625,A,D,,B,A,,A,A,,B,A,A,B,,,A
626,,D,,,D,D,,D,,B,,A,,,F,A
627,,C,D,A,A,,D,A,D,D,A,,,D,D,A
629,A,A,,D,A,B,B,A,C,A,A,A,D,A,A,D
630,A,,D,F,,A,A,A,,A,B,,,B,A,A
631,,A,A,B,B,A,A,A,,B,B,,,B,A,A
632,A,,,,A,A,F,D,B,D,D,A,A,A,,
633,,A,A,B,A,A,D,B,,D,A,,B,C,D,A
634,A,,A,B,A,B,A,A,,A,B,,D,B,A,
635,A,A,,A,A,A,,D,,D,,,B,,A,B
636,A,F,,D,D,,B,B,,,A,B,B,B,B,A
638,,D,B,,B,C,F,D,A,A,A,D,B,D,D,
641,D,A,B,D,D,A,A,,F,,,A,A,A,D,
642,A,F,D,A,A,D,A,A,A,A,A,F,F,B,D,A
644,A,,A,,D,A,D,D,F,D,A,,B,A,,A
647,,F,D,A,,F,B,A,A,B,A,,D,A,A,
649,A,A,F,,F,D,A,B,B,A,A,A,A,B,D,D
651,,D,A,B,B,,,D,B,A,A,D,D,A,B,A
653,D,D,A,D,A,A,A,F,A,,D,B,,A,A,B
655,,,A,F,D,F,D,,A,A,A,C,,A,A,A
656,,D,D,B,,A,A,,A,B,D,A,A,D,A,B
659,F,,,A,B,A,D,B,,A,B,A,B,D,,D
660,A,A,A,A,A,,,B,A,A,A,D,A,D,A,A
661,B,,A,F,C,D,D,A,B,,A,B,A,D,A,A
662,,B,F,A,D,A,D,D,D,D,B,,,A,D,A
665,B,A,A,D,,A,D,A,C,A,,D,D,B,B,A
668,F,B,,A,F,D,A,D,A,,A,D,B,D,,B
669,B,A,,,D,F,D,,,D,,,D,D,A,B
670,D,A,A,D,A,A,A,,B,,,A,,B,D,A
672,D,B,A,A,A,,A,A,,B,A,,D,D,B,F
674,B,,A,F,,,,A,,D,B,A,B,D,,B
676,A,B,,B,B,A,,D,A,D,A,,A,B,D,A
677,A,,D,A,D,B,A,A,D,D,A,B,D,B,,
678,D,A,D,A,A,A,B,,A,A,D,B,A,A,,B
679,A,A,,A,C,D,A,A,D,A,,A,,B,A,B
681,,,A,D,A,D,A,A,D,A,A,A,D,D,A,D
682,A,A,A,A,A,,A,D,D,B,D,A,A,D,A,D
683,A,A,,A,,A,F,B,A,D,D,D,B,B,A,A
685,,B,,D,A,B,F,B,D,A,A,D,,B,D,B
686,B,,A,A,D,B,D,A,,,B,A,C,D,A,
687,D,A,,B,,A,A,A,A,D,F,D,D,,D,
689,D,D,A,A,A,A,,D,A,D,,D,B,,C,D
691,,F,,D,A,,A,A,A,A,A,B,,A,D,D
693,A,A,A,A,B,A,F,D,A,A,,B,D,A,A,
695,B,,A,A,,,A,A,F,B,D,A,D,B,D,A
699,B,D,A,,A,D,A,A,A,B,A,D,D,A,B,A
700,,F,,A,,D,A,,D,A,,,D,,D,D
701,,B,A,D,D,A,B,F,D,,,A,,B,D,B
702,D,A,A,F,A,,D,,,A,D,A,A,A,D,A
703,A,A,B,A,A,B,A,,A,A,B,,A,,A,
704,B,F,B,B,,A,,A,,A,,,D,,B,B
708,,D,,B,A,A,D,B,A,,A,A,B,D,A,
710,F,A,F,,A,F,D,A,,D,A,D,,A,A,F
711,D,F,A,A,A,B,A,A,A,,D,,A,A,F,A
712,,D,A,A,D,A,A,,D,B,F,A,,D,D,A
714,A,A,B,D,A,B,B,F,B,,D,F,B,A,A,B
715,A,D,F,A,F,D,A,C,D,A,A,D,B,,A,B
716,B,D,A,D,A,,A,A,B,A,,A,,A,,
718,B,B,D,A,,D,B,F,,A,A,A,A,A,D,A
720,A,A,A,,A,A,D,B,D,A,,A,A,A,A,B
721,F,D,A,,,B,A,,F,D,A,A,A,D,,D
723,A,B,,D,A,C,,D,A,A,,F,D,D,,B
724,D,A,D,A,D,D,D,F,A,B,A,D,B,D,D,A
725,D,D,B,A,F,A,,A,D,A,C,,C,B,A,A
727,,B,D,B,D,B,A,,D,,D,D,A,A,D,A
730,A,B,A,A,D,F,A,A,B,D,B,B,,B,A,A
731,A,A,A,A,B,B,A,D,D,D,A,A,B,,B,A
733,A,F,D,,A,,A,D,F,,B,A,A,A,F,A
734,A,,B,B,A,B,A,A,,A,,F,A,A,F,D
735,A,A,F,A,,A,,A,A,F,,A,A,B,A,A
737,A,A,A,A,B,,A,,B,,D,B,A,A,,A
738,A,D,B,B,B,A,D,F,A,B,A,A,A,A,B,B
739,,A,D,A,A,F,A,A,,D,A,F,A,A,A,B
742,A,D,A,B,B,,B,D,D,A,A,B,A,B,B,D
744,,A,,,,B,D,A,B,D,A,D,D,A,B,F
745,A,F,B,A,A,A,A,A,D,B,F,B,A,C,A,A
746,F,D,D,A,A,D,A,D,D,A,A,D,B,D,,B
747,D,D,A,,,,A,,A,A,A,F,D,A,A,A
749,A,F,A,F,A,A,D,A,D,,A,B,D,A,A,A
750,A,B,,A,D,B,F,A,B,D,B,B,A,A,A,A
751,,F,,D,,D,B,B,A,A,,,A,A,B,D
752,B,A,F,,D,B,A,,A,B,A,,A,B,B,
753,A,,D,F,C,A,A,A,A,A,D,B,A,A,A,
756,A,A,A,C,A,B,D,D,,A,,A,A,,A,
757,,D,B,D,D,D,B,B,A,F,,D,B,D,A,A
760,A,B,D,,D,,D,A,D,B,,A,D,,A,
763,B,A,,D,F,A,B,A,,A,D,F,,,,
766,A,A,,A,D,D,A,A,A,,D,A,B,B,D,A
767,A,,B,,A,D,A,,A,D,A,B,D,B,B,B
771,A,A,A,D,B,A,B,A,F,D,D,D,A,A,A,A
772,A,B,,B,,A,D,D,B,B,,,C,B,,B
777,F,B,A,D,A,A,A,A,B,D,F,F,,A,,C
779,D,A,A,B,A,A,,D,,D,A,D,D,F,D,A
782,D,A,D,,B,A,B,A,D,A,,D,F,,A,A
783,D,A,,D,D,B,A,,D,A,A,D,A,C,A,D
